Scheme Name,Scheme Code
quant Multi Asset Allocation Fund-GROWTH OPTION - Regular Plan,101072
JM Liquid Fund (Regular) - Daily IDCW,101078
HDFC Gilt Fund - Growth Plan,101083
HDFC Gilt Fund - IDCW Plan,101084
ICICI Prudential Child Care Plan Study - Cumulative,101098
ICICI Prudential Children's Fund - Regular Plan,101127
ICICI Prudential Multi-Asset Fund - IDCW,101143
ICICI Prudential Multi-Asset Fund - Growth,101144
Nippon India Multi Cap Fund-Growth Plan-Growth Option,101161
Nippon India Multi Cap Fund-Growth Plan-Bonus Option,101162
NIPPON INDIA MULTI CAP FUND - IDCW Option,101163
ICICI Prudential Short Term Fund - Monthly IDCW,101165
SBI Children's Fund - Savings Plan - REGULAR PLAN - GROWTH,101169
JM Medium to Long Duration Fund (Regular) - Bonus Option- Principal Units,101181
LIC MF Liquid Fund-Regular Plan-Daily IDCW,101184
LIC MF Liquid Fund-Regular Plan-Growth,101185
Tata Income Fund- Regular Plan - Periodic Payout of IDCW Option,101186
Baroda BNP Paribas GILT FUND - Regular Plan - Growth Option,101187
Baroda BNP Paribas GILT FUND - Regular Plan - IDCW Option,101188
LIC MF BSE Sensex Index Fund-Regular Plan-IDCW,101198
LIC MF BSE Sensex Index Fund-Regular Plan-Growth,101199
LIC MF Nifty 50 Index Fund-Regular Plan-IDCW,101200
LIC MF Nifty 50 Index Fund-Regular Plan-Growth,101201
SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,101206
Taurus Large Cap Fund - Regular Plan - Growth,101209
ICICI Prudential Money Market Fund Retail Growth (erstwhile Cash Option),101221
Tata Aggressive Hybrid Fund- Regular Plan - Periodic Payout of IDCW Option,101222
Tata Dynamic Bond Fund- Regular Plan - Payout of IDCW Option,101224
ICICI Prudential Multicap Fund - Growth,101228
ICICI Prudential Short Term Fund - Institutional Plan - Dividend Monthly,101229
ICICI Prudential Short Term Fund-Institutional Plan-Dividend Fortnightly,101230
ICICI Prudential Short Term Fund-Institutional Growth,101231
Franklin India Short-Term Income Plan-Growth,101232
Franklin India Short Term Income Plan -  Retail Plan - Monthly - IDCW,101236
Franklin India Short-Term Income Plan-Weekly Bonus,101237
Franklin India Short Term Income Plan -  Retail Plan - Quarterly - IDCW,101238
Franklin India Short Term Income Plan -  Retail Plan - Weekly - IDCW,101242
Franklin India Short-Term Income Plan-Institutional Plan - Growth,101244
Franklin India Short-Term Income Plan-Institutional Plan - Monthly Dividend,101246
Nippon India Power & Infra Fund-Growth Plan -Growth Option,101262
Nippon India Power & Infra Fund-Growth Plan-Bonus Option,101263
NIPPON INDIA POWER & INFRA FUND - IDCW Option,101264
LIC MF Children's Fund-Regular Plan-Growth,101271
HDFC BSE Sensex Index Fund - Growth Plan,101281
SBI ESG Exclusionary Strategy Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),101295
DSP Short Term Fund - Regular Plan - Regular Plan - IDCW - Weekly,101303
DSP Short Term Fund - Regular Plan - Growth,101304
DSP Short Term Fund - Regular Plan - IDCW,101305
